Sample_A12,17,#B1AF64
Sample_A15,17,#B1AF64
Sample_A6,17,#B1AF64
Sample_A86,17,#B1AF64
Sample_A91,17,#B1AF64
Sample_B128,17,#B1AF64
Sample_B41,17,#B1AF64
Sample_B55,17,#B1AF64
Sample_BF461,17,#B1AF64
Sample_BM842,17,#DB9D85
Sample_C63,17,#B1AF64
Sample_C66,17,#B1AF64
Sample_E39,17,#87AEDF
Sample_A54,17,#87AEDF
Sample_FloHyb_26055848,17,#B1AF64
Sample_FloHyb_26056533,17,#DB9D85
Sample_FloHyb_48036067,17,#87AEDF
Sample_FloHyb_48349076,17,#B1AF64
Sample_FloHyb_48359110,17,#B1AF64
Sample_FloHyb_51777322,17,#DB9D85
Sample_FloHyb_52312895,17,#B1AF64
Sample_FloHyb_52335791,17,#DB9D85
Sample_FloHyb_52337841,17,#87AEDF
Sample_FloHyb_52376100,17,#DB9D85
Sample_FloHyb_52604553,17,#B1AF64
Sample_FloHyb_52793336,17,#DB9D85
Sample_FloHyb_52796799,17,#B1AF64
Sample_FloHyb_54957007,17,#87AEDF
Sample_FloHyb_54957019,17,#DB9D85
Sample_FloHyb_54957272,17,#87AEDF
Sample_FloHyb_54957555,17,#DB9D85
Sample_FloHyb_72611626,17,#B1AF64
Sample_FloHyb_A16,17,#B1AF64
Sample_FloHyb_A33,17,#B1AF64
Sample_FloHyb_BR027,17,#B1AF64
Sample_FloHyb_BR106,17,#DB9D85
Sample_FloHyb_BR542,17,#B1AF64
Sample_FloHyb_BR610,17,#B1AF64
Sample_FloHyb_BR783,17,#B1AF64
Sample_FloHyb_BR877,17,#DB9D85
Sample_FloHyb_E11,17,#DB9D85
Sample_FloHyb_E69,17,#87AEDF
Sample_FloHyb_E84,17,#87AEDF
Sample_FloHyb_G155,17,#87AEDF
Sample_FloHyb_G164,17,#87AEDF
Sample_FloHyb_G165,17,#87AEDF
Sample_FloHyb_G21,17,#87AEDF
Sample_FloHyb_G8,17,#B1AF64
Sample_FloHyb_G90,17,#87AEDF
Sample_FloHyb_H119,17,#B1AF64
Sample_FloHyb_H149,17,#B1AF64
Sample_FloHyb_H158,17,#DB9D85
Sample_FloHyb_H163,17,#B1AF64
Sample_FloHyb_H17,17,#87AEDF
Sample_FloHyb_H192,17,#B1AF64
Sample_FloHyb_H2,17,#DB9D85
Sample_FloHyb_H210,17,#DB9D85
