ID,PIXY,Group
Sample_NHM_1950_1_5_89,0.000376824,hoodensis
Sample_NHM_1974_2459,0.001059092,Putative_Hyb
Sample_PBL_H10,0.00043094,becki 
Sample_PBL_H119,0.000418136,becki 
Sample_PBL_H126,0.000590596,becki 
Sample_PBL_H130,0.000588994,becki 
Sample_PBL_H133,0.000516212,becki 
Sample_PBL_H28,0.000520562,becki 
Sample_PBL_H33,0.000543518,becki 
Sample_PBL_H61,0.000548549,becki 
Sample_PBL_H74,0.000589091,becki 
Sample_PBL_H85,0.000400839,becki 
Sample_PBL_H93,0.000495631,becki 
Sample_PBL_I135,0.000523651,becki 
Sample_PBL_I150,0.000491624,becki 
Sample_PBL_I28,0.000439394,becki 
Sample_PBL_I45,0.000460006,becki 
Sample_PBR_3,0.000483827,Putative_Hyb
Sample_PBR_B125,0.000449732,becki 
Sample_PBR_B149,0.000386018,becki 
Sample_PBR_B152,0.000438091,becki 
Sample_PBR_B22,0.000367582,becki 
Sample_PBR_B25,0.000322633,becki 
Sample_PBR_C47,0.000387859,becki 
Sample_PBR_D110,0.000397159,becki 
Sample_PBR_E113,0.000472833,becki 
Sample_PBR_E148,0.000355643,becki 
Sample_PBR_E61,0.000426762,becki 
Sample_PBR_F87,0.000408674,becki 
Sample_PBR_G177,0.000396824,becki 
Sample_PBR_G213,0.000483571,becki 
Sample_PNT_LG,0.000889339,abingdonii
Sample_PZ03,0.000417933,duncanensis
Sample_PZ09,0.000427417,duncanensis
Sample_PZ10,0.000378199,duncanensis
Sample_SCR03,0.000475357,chathamensis
Sample_SCR04,0.000457807,chathamensis
Sample_SCR05,0.000531788,chathamensis
Sample_SCR10,0.000502614,chathamensis
Sample_SCR13,0.000415366,chathamensis
Sample_SCR14,0.000569396,chathamensis
Sample_SCR15,0.000527445,chathamensis
Sample_SCR16,0.000573158,chathamensis
Sample_SCR20,0.000431349,chathamensis
Sample_SCR22,0.000479159,chathamensis
Sample_VA378,0.000451774,vandenburghi
Sample_VA423,0.000448729,vandenburghi
Sample_VA984,0.000452779,vandenburghi
Sample_VD02,0.000440935,microphyes
Sample_VD06,0.000445696,microphyes
Sample_VD08,0.000434429,microphyes
Sample_VW100,0.000604035,Putative_Hyb
Sample_VW266,0.000600073,Putative_Hyb
Sample_VW665,0.000509035,Putative_Hyb
Sample_VW792,0.000679273,Putative_Hyb
Sample_VW805,0.000540937,Putative_Hyb
