ID,VCFTOOLS,Group
Sample_LP01,0.000444234,vicina
Sample_LP08,0.000452432,vicina
Sample_LT02,0.000303799,vicina
Sample_NHM_1949_1_3_65,0.000415239,abingdonii
Sample_NHM_1949_1_3_90,0.000619916,niger
Sample_NHM_1949_1_3_96,0.000711587,abingdonii
Sample_NHM_1950_1_5_89,0.000369997,hoodensis
Sample_NHM_1974_2459,0.000966106,Putative_Hyb
Sample_PBL_H10,0.000376967,becki
Sample_PBL_H119,0.00035465,becki
Sample_PBL_H126,0.000586641,becki
Sample_PBL_H130,0.000586313,becki
Sample_PBL_H133,0.000363814,becki
Sample_PBL_H28,0.000415484,becki
Sample_PBL_H33,0.000511779,becki
Sample_PBL_H61,0.000533841,becki
Sample_PBL_H74,0.000582462,becki
Sample_PBL_H85,0.000400766,becki
Sample_PBL_H93,0.000348623,becki
Sample_PBL_I135,0.000382741,becki
Sample_PBL_I150,0.000429713,becki
Sample_PBL_I28,0.000378379,becki
Sample_PBL_I45,0.000354419,becki
Sample_PBR_B125,0.00044897,becki
Sample_PBR_B149,0.00032162,becki
Sample_PBR_B152,0.000437651,becki
Sample_PBR_B22,0.000300196,becki
Sample_PBR_B25,0.000231764,becki
Sample_PBR_C47,0.000320223,becki
Sample_PBR_D110,0.000299615,becki
Sample_PBR_E113,0.000401664,becki
Sample_PBR_E148,0.000268536,becki
Sample_PBR_E61,0.000425321,becki
Sample_PBR_F87,0.00034799,becki
Sample_PBR_G177,0.000304707,becki
Sample_PBR_G213,0.000451141,becki
Sample_PNT_LG,0.000881301,abingdonii
Sample_PZ03,0.000417822,duncanensis
Sample_PZ09,0.000427318,duncanensis
Sample_PZ10,0.000357413,duncanensis
Sample_SCR03,0.000437671,chathamensis
Sample_SCR04,0.000447713,chathamensis
Sample_SCR05,0.000531363,chathamensis
Sample_SCR10,0.000502484,chathamensis
Sample_SCR13,0.000279926,chathamensis
Sample_SCR14,0.000569137,chathamensis
Sample_SCR15,0.000520639,chathamensis
Sample_SCR16,0.000573016,chathamensis
Sample_SCR20,0.000392095,chathamensis
Sample_SCR22,0.000478934,chathamensis
Sample_VA378,0.000451587,vandenburghi
Sample_VA423,0.000448508,vandenburghi
Sample_VA984,0.000452581,vandenburghi
Sample_VD02,0.000440517,microphyes
Sample_VD06,0.000445145,microphyes
Sample_VD08,0.00043338,microphyes
